Date                Day temperature     Feels like          Night temperature   
10-07-2022          25.66               25.35               24.46               
11-07-2022          21.9                21.43               18.26               
12-07-2022          23.43               22.79               22.22               
13-07-2022          24.35               23.68               20.12               
14-07-2022          27.74               27.38               24.45               
15-07-2022          26.13               26.13               25.24               
16-07-2022          27.82               27.45               26.1                
17-07-2022          29.29               28.32               27.98               
18-07-2022          27.33               27.28               25.66               
19-07-2022          29.92               29.49               27.19               
