Date                Day temperature     Feels like          Night temperature   
01-05-2022          13.89               12.67               12.59               
02-05-2022          14.04               12.96               12.68               
03-05-2022          13.57               12.55               13.96               
04-05-2022          17.4                16.37               13.72               
05-05-2022          15.53               14.57               15.57               
06-05-2022          14.76               13.81               13.55               
07-05-2022          15.62               14.65               14.38               
08-05-2022          15.03               14                  12.78               
09-05-2022          13.5                12.66               13.39               
10-05-2022          15.52               14.04               13.88               
